"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2709","","hypothetical protein","23","3","0","77","100.0","96.25","inf","4.857726661875032e-20","1.1301501078852262e-15","3.7671670262840874e-16","2","2","0","0.5","0.5"
"pspA","","Phosphoserine phosphatase 1","23","3","0","77","100.0","96.25","inf","4.857726661875032e-20","1.1301501078852262e-15","3.7671670262840874e-16","2","2","0","0.5","0.5"
"ybiR","","Inner membrane protein YbiR","23","3","0","77","100.0","96.25","inf","4.857726661875032e-20","1.1301501078852262e-15","3.7671670262840874e-16","2","2","0","0.5","0.5"
"xylT_2","","D-xylose transporter","20","3","3","77","86.95652173913044","96.25","171.11111111111111","2.733530250400539e-15","6.359558127556855e-11","1.5898895318892136e-11","2","2","1","0.5","1.0"
"group_683","ulaC","hypothetical protein","23","11","0","69","100.0","86.25","inf","5.345325833287374e-15","1.2435900551143077e-10","2.0436377345935745e-11","2","2","0","0.5","0.5"
"leuA","","2-isopropylmalate synthase","23","11","0","69","100.0","86.25","inf","5.345325833287374e-15","1.2435900551143077e-10","2.0436377345935745e-11","2","2","0","0.5","0.5"
"group_14455","","hypothetical protein","17","0","6","80","73.91304347826086","100.0","inf","8.784172510610679e-15","2.0436377345935744e-10","2.0436377345935745e-11","1","1","0","1.0","1.0"
"group_2241","","hypothetical protein","17","0","6","80","73.91304347826086","100.0","inf","8.784172510610679e-15","2.0436377345935744e-10","2.0436377345935745e-11","1","1","0","1.0","1.0"
"group_1365","xerD_1","Tyrosine recombinase XerD","17","0","6","80","73.91304347826086","100.0","inf","8.784172510610679e-15","2.0436377345935744e-10","2.0436377345935745e-11","1","1","0","1.0","1.0"
"btuD_9","","Vitamin B12 import ATP-binding protein BtuD","17","0","6","80","73.91304347826086","100.0","inf","8.784172510610679e-15","2.0436377345935744e-10","2.0436377345935745e-11","1","1","0","1.0","1.0"
"feuB","","Iron-uptake system permease protein FeuB","16","0","7","80","69.56521739130434","100.0","inf","1.0917471548901881e-13","2.5399497558520224e-09","1.561521449295115e-10","1","1","0","1.0","1.0"
"yusV","","putative siderophore transport system ATP-binding protein YusV","16","0","7","80","69.56521739130434","100.0","inf","1.0917471548901881e-13","2.5399497558520224e-09","1.561521449295115e-10","1","1","0","1.0","1.0"
"group_5408","","hypothetical protein","16","0","7","80","69.56521739130434","100.0","inf","1.0917471548901881e-13","2.5399497558520224e-09","1.561521449295115e-10","1","1","0","1.0","1.0"
"feuA","","Iron-uptake system-binding protein","16","0","7","80","69.56521739130434","100.0","inf","1.0917471548901881e-13","2.5399497558520224e-09","1.561521449295115e-10","1","1","0","1.0","1.0"
"feuC_1","","Iron-uptake system permease protein FeuC","16","0","7","80","69.56521739130434","100.0","inf","1.0917471548901881e-13","2.5399497558520224e-09","1.561521449295115e-10","1","1","0","1.0","1.0"
"besA","","Ferri-bacillibactin esterase BesA","16","0","7","80","69.56521739130434","100.0","inf","1.0917471548901881e-13","2.5399497558520224e-09","1.561521449295115e-10","1","1","0","1.0","1.0"
"licC","","hypothetical protein","0","66","23","14","0.0","17.5","0.0","1.1410214759517282e-13","2.6545864638016956e-09","1.561521449295115e-10","2","0","2","0.5","0.5"
"group_12344","","hypothetical protein","17","1","6","79","73.91304347826086","98.75","223.83333333333334","1.4769666802724558e-13","3.436162981653868e-09","1.636268086501842e-10","2","1","1","1.0","1.0"
"group_3953","","hypothetical protein","17","1","6","79","73.91304347826086","98.75","223.83333333333334","1.4769666802724558e-13","3.436162981653868e-09","1.636268086501842e-10","2","1","1","1.0","1.0"
"bcsA","","Cellulose synthase catalytic subunit [UDP-forming]","17","1","6","79","73.91304347826086","98.75","223.83333333333334","1.4769666802724558e-13","3.436162981653868e-09","1.636268086501842e-10","2","1","1","1.0","1.0"
"group_7691","","hypothetical protein","17","1","6","79","73.91304347826086","98.75","223.83333333333334","1.4769666802724558e-13","3.436162981653868e-09","1.636268086501842e-10","2","1","1","1.0","1.0"
"group_3528","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_9379","yagU","Inner membrane protein YagU","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_6160","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"ybjI_1","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"tauB","","Taurine import ATP-binding protein TauB","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_9388","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"maa_1","","Maltose O-acetyltransferase","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_9212","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"ybjI_2","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_9376","lytR_2","Transcriptional regulator LytR","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_1753","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
