BCW-000270_02491 pspA
BCW-000212_00639 ddrA
BCW-000270_02490 ybiR
BCW-200051_00576 btuD_9
BCW-200077_01198 feuA
BCW-000631_00940 group_7770
BCW-000270_02495 group_2085
BCW-200051_00578 group_8190
BCW-000270_01148 xylT_2
BCW-200051_01660 group_1791
BCW-200051_01186 group_5497
BCW-000631_01709 group_696
BCW-000212_01741 group_3301
BCW-200051_01072 group_5487
BCW-000212_01260 group_1931
BCW-200077_00352 group_1793
BCW-000631_01693 group_5428
BCW-200051_01663 group_2959
BCW-200051_00577 group_5483
BCW-000270_02496 group_6294
BCW-000270_01146 xylT_1
BCW-200158_00358 group_5623
BCW-200158_00365 group_5626
BCW-000270_01143 araA
BCW-200051_01676 group_2960
BCW-000270_00165 scrB
BCW-000631_02797 group_7961
BCW-000631_02222 group_5436
BCW-200051_01177 group_2262
BCW-200077_01394 group_3932
BCW-200051_01694 group_5503
BCW-000631_01216 group_7798
BCW-000631_02798 group_8186
BCW-200051_01695 group_8270
