,bnf.ratio,state
BCW.000212,0,control
BCW.000213,0,control
BCW.000214,0,control
BCW.000215,0,control
BCW.000216,0,control
BCW.000217,0,control
BCW.000218,0,control
BCW.000219,0,control
BCW.000220,0,control
BCW.000270,0,control
BCW.000271,0,control
BCW.000272,0,control
BCW.000273,0,control
BCW.000274,0,control
BCW.000275,0,control
BCW.000445,0,control
BCW.000446,0,control
BCW.000486,0,control
BCW.000490,0,control
BCW.000541,0,control
BCW.000542,0,control
BCW.000543,0,control
BCW.000544,0,control
BCW.000545,0,control
BCW.000604,0,control
BCW.000605,0,control
BCW.000607,0,control
BCW.000608,0,control
BCW.000609,0,control
BCW.000628,0,control
BCW.000629,0,control
BCW.000630,0,control
BCW.000631,0,control
BCW.000666,0,control
BCW.000668,0,control
BCW.000670,0,control
BCW.000686,0,control
BCW.000687,0,control
BCW.000689,0,control
BCW.000695,0,control
BCW.000696,0,control
BCW.000697,0,control
BCW.000698,0,control
BCW.000701,0,control
BCW.000702,0,control
BCW.000703,0,control
BCW.000704,0,control
BCW.000705,0,control
BCW.000706,0,control
BCW.000707,0,control
BCW.000708,0,control
BCW.000709,0,control
BCW.000710,0,control
BCW.000711,0,control
BCW.000712,0,control
BCW.000714,0,control
BCW.000716,0,control
BCW.000717,0,control
BCW.000718,0,control
BCW.000719,0,control
BCW.000722,0,control
BCW.000724,0,control
BCW.000726,0,control
BCW.000728,0,control
BCW.000729,0,control
BCW.000730,0,control
BCW.000732,0,control
BCW.000733,0,control
BCW.000735,0,control
BCW.000737,0,control
BCW.200051,2.2,diazotroph
BCW.200077,0.9,diazotroph
BCW.200121,2.7,diazotroph
BCW.200128,3,diazotroph
BCW.200138,3.1,diazotroph
BCW.200150,0,diazotroph
BCW.200158,0,diazotroph
BCW.200159,2.9,diazotroph
BCW.200160,0,diazotroph
BCW.200163,2.8,diazotroph
BCW.200174,3,diazotroph
BCW.200175,3.7,diazotroph
BCW.200180,0.8,diazotroph
BCW.200188,0.9,diazotroph
BCW.200192,0.9,diazotroph
BCW.200196,2.8,diazotroph
BCW.200198,3.4,diazotroph
BCW.200229,0,diazotroph
BCW.200232,0,diazotroph
BCW.200238,1.1,diazotroph
BCW.200241,4.2,diazotroph
BCW.201453,1,diazotroph
BCW.201861,1.2,diazotroph
