"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2085","","hypothetical protein","23","3","0","67","100.0","95.71428571428572","inf","6.960250238512724e-19","6.130588410082007e-15","2.0435294700273356e-15","2","2","0","0.5","0.5"
"pspA","","Phosphoserine phosphatase 1","23","3","0","67","100.0","95.71428571428572","inf","6.960250238512724e-19","6.130588410082007e-15","2.0435294700273356e-15","2","2","0","0.5","0.5"
"ybiR","","Inner membrane protein YbiR","23","3","0","67","100.0","95.71428571428572","inf","6.960250238512724e-19","6.130588410082007e-15","2.0435294700273356e-15","2","2","0","0.5","0.5"
"ddrA","","Single-stranded DNA-binding protein DdrA","0","64","23","6","0.0","8.571428571428571","0.0","1.271637718576275e-16","1.120058502521983e-12","2.8001462563049573e-13","2","0","2","0.5","0.5"
"group_1931","","hypothetical protein","0","60","23","10","0.0","14.285714285714285","0.0","2.477876925911465e-14","2.1825139963428182e-10","3.83386351659149e-11","2","0","2","0.5","0.5"
"xylT_2","","D-xylose transporter","20","3","3","67","86.95652173913044","95.71428571428572","148.88888888888889","2.6116236489042844e-14","2.3003181099548938e-10","3.83386351659149e-11","2","2","1","0.5","1.0"
"btuD_9","","Vitamin B12 import ATP-binding protein BtuD","17","0","6","70","73.91304347826086","100.0","inf","5.85247126645528e-14","5.15485669149381e-10","5.15485669149381e-11","1","1","0","1.0","1.0"
"group_8190","","hypothetical protein","17","0","6","70","73.91304347826086","100.0","inf","5.85247126645528e-14","5.15485669149381e-10","5.15485669149381e-11","1","1","0","1.0","1.0"
"group_1077","xerD_1","Tyrosine recombinase XerD","17","0","6","70","73.91304347826086","100.0","inf","5.85247126645528e-14","5.15485669149381e-10","5.15485669149381e-11","1","1","0","1.0","1.0"
"group_1791","","hypothetical protein","17","0","6","70","73.91304347826086","100.0","inf","5.85247126645528e-14","5.15485669149381e-10","5.15485669149381e-11","1","1","0","1.0","1.0"
