,bnf.ratio,state
BCW.000212,0,control
BCW.000213,0,control
BCW.000214,0,control
BCW.000215,0,control
BCW.000216,0,control
BCW.000217,0,control
BCW.000218,0,control
BCW.000219,0,control
BCW.000220,0,control
BCW.000270,0,control
BCW.000271,0,control
BCW.000272,0,control
BCW.000273,0,control
BCW.000274,0,control
BCW.000275,0,control
BCW.000445,0,control
BCW.000446,0,control
BCW.000470,0,control
BCW.000486,0,control
BCW.000490,0,control
BCW.000541,0,control
BCW.000542,0,control
BCW.000543,0,control
BCW.000544,0,control
BCW.000545,0,control
BCW.000604,0,control
BCW.000605,0,control
BCW.000607,0,control
BCW.000608,0,control
BCW.000609,0,control
BCW.000628,0,control
BCW.000629,0,control
BCW.000630,0,control
BCW.000631,0,control
BCW.000666,0,control
BCW.000668,0,control
BCW.000670,0,control
BCW.000686,0,control
BCW.000687,0,control
BCW.000689,0,control
BCW.000691,0,control
BCW.000695,0,control
BCW.000696,0,control
BCW.000697,0,control
BCW.000698,0,control
BCW.000701,0,control
BCW.000702,0,control
BCW.000703,0,control
BCW.000704,0,control
BCW.000705,0,control
BCW.000706,0,control
BCW.000707,0,control
BCW.000708,0,control
BCW.000709,0,control
BCW.000710,0,control
BCW.000711,0,control
BCW.000712,0,control
BCW.000714,0,control
BCW.000716,0,control
BCW.000717,0,control
BCW.000718,0,control
BCW.000719,0,control
BCW.000722,0,control
BCW.000724,0,control
BCW.000726,0,control
BCW.000728,0,control
BCW.000729,0,control
BCW.000730,0,control
BCW.000732,0,control
BCW.000733,0,control
BCW.000735,0,control
BCW.000737,0,control
BCW.200051,2.2,diazotroph
BCW.200077,0.9,diazotroph
BCW.200121,2.7,diazotroph
BCW.200128,3,diazotroph
BCW.200138,3.1,diazotroph
BCW.200150,0,diazotroph
BCW.200158,0,diazotroph
BCW.200159,2.9,diazotroph
BCW.200160,0,diazotroph
BCW.200163,2.8,diazotroph
BCW.200174,3,diazotroph
BCW.200175,3.7,diazotroph
BCW.200180,0.8,diazotroph
BCW.200188,0.9,diazotroph
BCW.200192,0.9,diazotroph
BCW.200196,2.8,diazotroph
BCW.200198,3.4,diazotroph
BCW.200229,0,diazotroph
BCW.200232,0,diazotroph
BCW.200238,1.1,diazotroph
BCW.200241,4.2,diazotroph
BCW.201453,1,diazotroph
BCW.201861,1.2,diazotroph
BCW.9495,0,control
BCW.9496,0,control
BCW.9497,0,control
BCW.9499,0,control
BCW.9500,0,control
BCW.9501,0,control
BCW.9502,0,control
BCW.9503,0,control
GCF_000006865.1,0,control
GCF_000009425.1,0,control
GCF_000014545.1,0,control
GCF_000025045.1,0,control
GCF_000143205.1,0,control
GCF_000192705.1,0,control
GCF_000205485.1,0,control
GCF_000212475.1,0,control
GCF_000213885.1,0,control
GCF_000236475.1,0,control
GCF_000236515.1,0,control
GCF_000236535.1,0,control
GCF_000269705.1,0,control
GCF_000269925.1,0,control
GCF_000269945.1,0,control
GCF_000284735.1,0,control
GCF_000300795.1,0,control
GCF_000305975.1,0,control
GCF_000305995.1,0,control
GCF_000312685.1,0,control
GCF_000327305.1,0,control
GCF_000344575.1,0,control
GCF_000348965.1,0,control
GCF_000407125.1,0,control
GCF_000407645.1,0,control
GCF_000442845.1,0,control
GCF_000447905.1,0,control
GCF_000447985.1,0,control
GCF_000468955.1,0,control
GCF_000478255.1,0,control
GCF_000479375.1,0,control
GCF_000488975.1,0,control
GCF_000493355.1,0,control
GCF_000534815.1,0,control
GCF_000703145.1,0,control
GCF_000721865.1,0,control
GCF_000731635.1,0,control
GCF_000739975.1,0,control
GCF_000759595.1,0,control
GCF_000761115.1,0,control
GCF_000786755.1,0,control
GCF_000805435.1,0,control
GCF_000807375.1,0,control
GCF_000820425.1,0,control
GCF_000835975.1,0,control
GCF_000969475.1,0,control
GCF_000978865.1,0,control
GCF_000981525.1,0,control
GCF_001005395.1,0,control
GCF_001437565.1,0,control
GCF_001455265.1,0,control
GCF_001456385.1,0,control
GCF_001456455.1,0,control
GCF_001456475.1,0,control
GCF_001456495.1,0,control
GCF_001456505.1,0,control
GCF_001456525.1,0,control
GCF_001456545.1,0,control
GCF_001456575.1,0,control
GCF_001456595.1,0,control
GCF_001456615.1,0,control
GCF_001456625.1,0,control
GCF_001456655.1,0,control
GCF_001456675.1,0,control
GCF_001456685.1,0,control
GCF_001456695.1,0,control
GCF_001456725.1,0,control
GCF_001456755.1,0,control
GCF_001456775.1,0,control
GCF_001456785.1,0,control
GCF_001456795.1,0,control
GCF_001456835.1,0,control
GCF_001456855.1,0,control
GCF_001456865.1,0,control
GCF_001514475.1,0,control
GCF_001540895.1,0,control
GCF_001578715.1,0,control
