BCW-000631_00801 hsrA_1
BCW-000270_02494 maa_1
BCW-200051_01658 group_1077
BCW-000631_00807 group_7758
BCW-000270_02473 group_1352
BCW-000270_02493 ybjI_2
BCW-200077_01201 besA
BCW-000212_00679 group_407
BCW-200077_01199 feuB
BCW-000631_00806 bcsA
BCW-000631_00808 group_2948
BCW-000270_02425 group_4863
BCW-200077_01200 feuC_1
BCW-000270_01196 group_2066
BCW-000270_02476 group_729
BCW-000270_02492 ybjI_1
BCW-000212_00133 xerD_1
BCW-000271_02510 group_5122
BCW-000631_00227 group_868
BCW-000270_00166 group_6074
BCW-000270_01342 group_6190
BCW-000270_02428 group_6283
BCW-000271_01484 group_4997
BCW-000270_02426 tauB
BCW-000212_00155 group_2310
BCW-200077_01197 group_3929
BCW-000270_01319 pinR
BCW-000270_02427 group_6282
BCW-200077_01202 yusV
BCW-200077_01411 group_8447
BCW-000271_02412 crr_1
BCW-000270_01676 group_1660
BCW-000631_00798 group_7755
BCW-000270_00164 group_6073
BCW-000270_02429 group_6284
BCW-200077_01391 group_764
BCW-000212_00151 group_298
BCW-000212_01240 group_955
BCW-200077_01252 group_5543
BCW-000270_00669 yxeP_1
BCW-000270_02430 group_6285
BCW-000270_00677 group_6113
BCW-200051_01662 group_3912
BCW-200077_01390 group_301
BCW-000212_01940 group_4611
BCW-000212_00156 group_1810
BCW-000212_01232 group_5879
BCW-000270_01314 lacD
BCW-000270_01144 araD
BCW-000270_01316 lacB
BCW-000212_00638 group_3091
BCW-000270_01029 group_2666
BCW-000270_02475 group_1288
BCW-000270_01315 lacC_1
BCW-000271_00294 group_2103
BCW-000271_02489 comEC_1
BCW-000270_01145 araB
BCW-000270_01076 group_2667
BCW-000270_00163 gmuE_1
BCW-000270_01313 lacF_1
BCW-000212_01604 licC
BCW-200077_01384 bltD
BCW-000271_01121 garK_1
BCW-000271_00111 rpiB
BCW-000212_00507 arcC1_3
BCW-000212_00141 group_4010
BCW-000212_00700 group_2401
BCW-000212_01946 group_5437
BCW-000212_00299 group_4070
BCW-000271_01364 group_6487
BCW-000270_01839 nhaK
BCW-000270_00618 group_624
BCW-000212_00505 group_4133
BCW-000270_01147 araR_1
BCW-000212_01936 group_1219
BCW-000271_01472 group_4996
BCW-000631_01708 group_894
