BCW-000212_00652 group_5776
BCW-000631_00799 rbsK/rbiA
BCW-000631_01187 group_5410
BCW-000275_01508 group_7077
BCW-200158_00011 group_5613
BCW-000270_00144 group_4754
BCW-000272_00295 bglK_2
BCW-000270_01669 group_4838
BCW-200158_00025 group_8832
BCW-000270_01977 group_4848
BCW-200158_01046 group_8900
BCW-000272_01265 group_1673
BCW-000217_00366 group_3437
BCW-200077_01062 group_8417
BCW-000270_00619 kdpD
BCW-200150_00989 dltA_2
BCW-200158_01926 group_8971
BCW-200158_01101 group_8907
BCW-000212_01043 group_5827
BCW-000631_01395 ytrB
BCW-000212_00983 group_5816
BCW-200158_02184 group_8997
BCW-000631_01394 ytrA
BCW-000212_00064 group_5673
BCW-000446_02120 group_2558
BCW-000270_00143 proC_1
BCW-200158_01543 group_8940
BCW-200158_02187 group_9000
BCW-000212_01709 group_5945
BCW-200158_02165 group_8991
BCW-200077_01442 group_5549
BCW-000271_01530 group_5004
BCW-200158_01111 group_8911
BCW-200077_01148 group_8418
BCW-000272_01763 group_6774
BCW-200158_00079 gatY
BCW-200158_00230 group_8872
BCW-200150_01264 group_5601
BCW-200158_00071 group_8844
BCW-200051_00195 ccpA_1
BCW-200077_01162 group_8428
BCW-200158_01538 group_8935
BCW-200158_00080 mngA
BCW-200077_01160 group_8426
BCW-200077_01152 group_8421
BCW-200158_01936 asp3
BCW-000212_00661 ylaC
BCW-200077_00188 group_8328
BCW-200158_00201 group_8854
BCW-200158_02292 group_9007
BCW-000270_01308 oppF_1
BCW-200158_00222 group_3964
BCW-000275_01919 group_2916
BCW-200158_00216 btuD_5
BCW-000541_00366 group_7244
BCW-000270_01560 cadA_3
BCW-200077_01149 group_8419
BCW-000212_00640 group_782
BCW-200158_00219 srrA
BCW-000271_02149 group_682
BCW-000212_00842 group_552
BCW-200077_01154 group_3927
BCW-000212_00667 group_3102
BCW-200188_01180 group_9141
BCW-000270_00710 ulaA
BCW-200077_02632 group_8552
BCW-200077_01059 group_8414
BCW-200158_01535 group_8932
BCW-000212_00485 group_5749
BCW-000271_01764 group_6538
BCW-200188_00943 group_9124
