Feature,Roary.Annotation,Roary.description
BCW-000212_00650,group_3096,NA
BCW-200158_00364,group_5625,NA
BCW-000631_01694,group_7846,NA
BCW-000212_01408,rbsA,NA
BCW-200051_00183,group_8177,NA
BCW-000631_00960,group_2949,NA
BCW-200158_01930,gtf1,NA
BCW-200051_00189,group_3903,NA
BCW-200051_01101,group_3907,NA
BCW-200051_00194,gmuB,NA
BCW-000631_01628,group_7841,NA
BCW-200158_00223,group_8868,NA
BCW-200051_00192,group_3905,NA
BCW-000212_01926,group_2588,NA
BCW-200158_00228,group_8871,NA
BCW-200158_00359,group_5624,NA
BCW-200051_01097,group_5490,NA
BCW-200158_00220,group_8866,NA
