BCW-200128_01243 group_3938
BCW-000213_00074 group_1427
BCW-200163_01831 group_3959
BCW-200128_01249 group_5579
BCW-200051_00182 group_8632
BCW-200121_01902 group_8599
BCW-200128_01241 group_5576
BCW-200121_01981 group_8600
BCW-200077_00500 group_2964
BCW-000273_00080 group_3242
BCW-000212_01472 group_3243
BCW-000631_02409 group_5438
BCW-200128_01242 group_5577
BCW-000212_01470 group_1520
BCW-200077_00165 group_1789
BCW-000271_01854 group_6550
BCW-200128_01082 group_3811
BCW-200077_02610 group_5567
BCW-200077_02633 group_5555
BCW-000214_01835 group_1429
BCW-000270_01840 group_1662
BCW-000273_00078 group_1521
BCW-000212_01874 intS
BCW-000270_01174 hcaB_1
BCW-000212_00683 lytG
BCW-000631_00852 group_7766
BCW-000212_01571 group_4470
BCW-000273_00079 group_1539
BCW-000212_00313 group_1391
BCW-200051_00188 group_5481
BCW-200051_00193 group_8182
BCW-200196_02032 group_9184
BCW-000689_01523 group_276
BCW-000631_01640 lytR_3
BCW-000541_01468 malX
BCW-000541_01470 malG
BCW-200051_01053 group_2254
BCW-200128_01545 group_5582
BCW-000631_02411 group_5440
BCW-000541_01957 lacF_3
BCW-200051_00190 group_8181
BCW-200128_01546 group_5583
BCW-200051_00670 group_8192
BCW-000271_00652 pqqE_1
BCW-200077_00121 group_847
BCW-000271_00533 group_9644
BCW-000272_00288 group_2640
BCW-000541_01962 degA_3
BCW-200158_02102 group_8989
BCW-000270_01661 dnaC_1
BCW-200077_01063 group_5539
BCW-200158_00205 group_5615
BCW-000270_01540 rutB_2
BCW-200077_01682 group_5550
BCW-200128_00040 group_8608
BCW-000212_01148 group_802
BCW-000631_02224 group_7911
BCW-200051_00184 group_8178
BCW-200051_00659 group_10
BCW-000273_01420 group_1537
BCW-200051_00187 gmuC_1
BCW-000270_01365 group_4814
BCW-200158_00225 group_8869
BCW-200051_00191 group_3904
BCW-000212_01045 group_307
BCW-000212_00841 gsiC
BCW-000274_01677 smc_1
BCW-000541_01469 group_5340
BCW-000631_02410 group_7916
BCW-200051_00186 group_8179
BCW-000212_01477 group_327
BCW-200128_01084 group_8628
BCW-200051_01674 group_3913
BCW-000212_01042 group_470
BCW-200150_00379 group_5585
BCW-200188_00052 group_9063
BCW-200158_00532 group_3957
BCW-200051_00006 group_5478
BCW-000212_01131 group_1502
BCW-000272_02263 group_3751
BCW-200077_01770 group_8458
BCW-200051_01054 group_5485
BCW-000212_00529 xerD_5
BCW-200158_00031 group_8838
BCW-000271_01309 bglF_1
BCW-000212_01471 group_1538
BCW-200077_01060 group_8415
BCW-200188_00318 group_9080
BCW-000631_01218 group_7800
BCW-000212_00967 group_4280
BCW-200077_02073 group_8480
BCW-200188_00312 group_9078
BCW-200051_01175 group_2261
BCW-200077_01309 group_8436
BCW-200188_00306 licR
BCW-200077_01155 group_8423
BCW-000212_01438 group_3233
BCW-000273_01864 group_1431
BCW-200158_01858 group_8966
BCW-000607_01134 group_1547
BCW-000212_00939 group_9681
BCW-200077_00119 group_5513
BCW-200128_00388 group_8614
BCW-200128_01264 group_8645
BCW-000212_01868 group_4591
BCW-000275_01512 group_697
BCW-000271_01119 group_6439
BCW-000212_01954 xylA
BCW-000728_02279 group_5468
BCW-000271_00653 group_9643
BCW-200077_00120 acpP
BCW-200188_00310 mngB_2
BCW-000212_02096 group_1252
BCW-000212_00930 group_4273
BCW-000273_01255 msbA
BCW-200077_02392 group_8506
BCW-000212_01409 rbsD
BCW-200121_00225 group_8566
BCW-200158_01934 group_8978
BCW-000271_00827 group_4949
BCW-000270_00373 group_3446
BCW-200051_01183 group_5496
BCW-200158_00214 ribBA_1
BCW-000212_02141 group_6009
BCW-000270_01607 group_4823
BCW-000212_01817 group_3320
BCW-200128_01240 group_8633
BCW-000270_02283 group_4856
BCW-200051_02065 group_8274
BCW-200077_02575 xerD_6
BCW-000270_01229 group_1640
BCW-200051_01325 group_8244
BCW-200051_01173 group_2259
BCW-200077_01383 group_8438
BCW-000217_00487 group_1421
BCW-200051_01304 group_3910
BCW-000212_00736 ybhL
BCW-200077_00475 group_5522
BCW-200188_01736 group_9166
BCW-200128_01087 group_8629
BCW-200158_00226 group_5621
BCW-200158_00213 aas
