BCW-000270_02495 group_2085
BCW-000270_02491 pspA
BCW-000270_02490 ybiR
BCW-000212_00639 ddrA
BCW-000212_01260 group_1931
BCW-000270_01148 xylT_2
BCW-200051_00576 btuD_9
BCW-200051_00578 group_8190
BCW-200051_01658 group_1077
BCW-200051_01660 group_1791
BCW-000212_00156 group_1810
BCW-000212_00155 group_2310
BCW-000212_00151 group_298
BCW-200077_01201 besA
BCW-200077_01199 feuB
BCW-200077_01202 yusV
BCW-200077_01197 group_3929
BCW-200077_01198 feuA
BCW-200077_01200 feuC_1
BCW-000631_00808 group_2948
BCW-000631_00806 bcsA
BCW-000631_01693 group_5428
BCW-000631_00807 group_7758
BCW-000212_00133 xerD_1
BCW-000212_00638 group_3091
BCW-000270_00677 group_6113
BCW-000270_02493 ybjI_2
BCW-000270_02427 group_6282
BCW-000270_02473 group_1352
BCW-000270_02428 group_6283
BCW-000270_01029 group_2666
BCW-000270_02429 group_6284
BCW-000270_01076 group_2667
BCW-000270_02430 group_6285
BCW-000270_02425 group_4863
BCW-000270_02492 ybjI_1
BCW-000270_02426 tauB
BCW-000270_02496 group_6294
BCW-000270_02494 maa_1
BCW-200077_01252 group_5543
BCW-200077_01253 group_1786
BCW-000212_01741 group_3301
BCW-000631_00799 rbsK/rbiA
BCW-000631_00798 group_7755
BCW-000631_00800 group_7756
BCW-000631_00801 hsrA_1
BCW-000270_01676 group_1660
BCW-000271_02510 group_5122
BCW-000212_01604 licC
BCW-000270_01839 nhaK
BCW-000270_02475 group_1288
BCW-000270_01342 group_6190
BCW-000270_02476 group_729
BCW-000212_00130 group_1379
BCW-000212_01240 group_955
BCW-200051_01663 group_2959
BCW-000270_02472 group_2687
BCW-000631_00940 group_7770
BCW-000212_00679 group_407
BCW-000212_00139 group_630
BCW-000271_02509 group_1053
BCW-000212_00141 group_4010
BCW-000271_02434 group_5114
BCW-000212_00137 group_5681
BCW-000212_00138 group_5682
BCW-000212_00353 licC_3
BCW-200077_01411 group_8447
BCW-000270_01330 group_884
BCW-000270_01196 group_2066
